Codigo,Descricao,NotaFiscal,DataVenda,WeekVenda,Quantidade,LinhaProduto,ClienteGrupo,Cliente,CentroCusto
1,ANEL SINCRONIZADOR D140,15717,2019-04-26,2019w17,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15733,2019-04-29,2019w18,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,15745,2019-04-30,2019w18,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,15755,2019-04-30,2019w18,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15783,2019-05-03,2019w18,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15805,2019-05-07,2019w19,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15809,2019-05-07,2019w19,1,1,1245,280,21320
1,ANEL SINCRONIZADOR D140,15847,2019-05-10,2019w19,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,15860,2019-05-10,2019w19,4,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,15862,2019-05-13,2019w20,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15871,2019-05-14,2019w20,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15881,2019-05-15,2019w20,4,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,15896,2019-05-16,2019w20,4,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,15903,2019-05-17,2019w20,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15934,2019-05-21,2019w21,6,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,15951,2019-05-23,2019w21,2,1,1013,096,21320
1,ANEL SINCRONIZADOR D140,15964,2019-05-24,2019w21,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15986,2019-05-29,2019w22,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15988,2019-05-29,2019w22,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15989,2019-05-29,2019w22,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16026,2019-06-03,2019w23,6,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,16044,2019-06-05,2019w23,2,1,1267,307,21320
1,ANEL SINCRONIZADOR D140,16056,2019-06-06,2019w23,2,1,1001,001,21320
1,ANEL SINCRONIZADOR D140,16066,2019-06-07,2019w23,1,1,1116,138,21320
1,ANEL SINCRONIZADOR D140,16081,2019-06-10,2019w24,4,1,1001,001,21320
1,ANEL SINCRONIZADOR D140,16167,2019-06-17,2019w25,4,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,16185,2019-06-18,2019w25,4,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,16244,2019-06-26,2019w26,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,16265,2019-06-27,2019w26,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16289,2019-07-01,2019w27,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,16317,2019-07-04,2019w27,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16350,2019-07-08,2019w28,6,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,16355,2019-07-10,2019w28,1,1,1116,138,21320
1,ANEL SINCRONIZADOR D140,16382,2019-07-12,2019w28,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16385,2019-07-12,2019w28,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16392,2019-07-15,2019w29,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,16401,2019-07-16,2019w29,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16408,2019-07-16,2019w29,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16411,2019-07-16,2019w29,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,16413,2019-07-17,2019w29,4,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,16454,2019-07-22,2019w30,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16470,2019-07-22,2019w30,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16529,2019-07-29,2019w31,4,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,16534,2019-07-30,2019w31,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,16542,2019-07-30,2019w31,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16543,2019-07-30,2019w31,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16550,2019-08-01,2019w31,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,16551,2019-08-01,2019w31,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16552,2019-08-01,2019w31,4,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,16561,2019-08-01,2019w31,2,1,1116,138,21320
1,ANEL SINCRONIZADOR D140,16562,2019-08-01,2019w31,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,16581,2019-08-02,2019w31,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16591,2019-08-05,2019w32,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,16621,2019-08-07,2019w32,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16630,2019-08-07,2019w32,4,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,16660,2019-08-09,2019w32,2,1,1013,096,21320
1,ANEL SINCRONIZADOR D140,16690,2019-08-14,2019w33,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,16702,2019-08-15,2019w33,6,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16738,2019-08-20,2019w34,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,16797,2019-08-28,2019w35,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16803,2019-08-28,2019w35,4,1,1013,096,21320
1,ANEL SINCRONIZADOR D140,16809,2019-08-29,2019w35,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16831,2019-09-02,2019w36,6,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,16841,2019-09-03,2019w36,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16852,2019-09-03,2019w36,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16858,2019-09-04,2019w36,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16860,2019-09-04,2019w36,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,16886,2019-09-06,2019w36,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16904,2019-09-06,2019w36,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16910,2019-09-10,2019w37,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,16922,2019-09-11,2019w37,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16936,2019-09-12,2019w37,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,16970,2019-09-18,2019w38,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16979,2019-09-19,2019w38,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,16995,2019-09-20,2019w38,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17001,2019-09-20,2019w38,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,17007,2019-09-20,2019w38,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,17073,2019-09-30,2019w40,1,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17097,2019-10-02,2019w40,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17125,2019-10-07,2019w41,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17135,2019-10-07,2019w41,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,17136,2019-10-07,2019w41,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,17137,2019-10-07,2019w41,3,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,17169,2019-10-14,2019w42,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17177,2019-10-14,2019w42,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,17207,2019-10-18,2019w42,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17230,2019-10-23,2019w43,4,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,17238,2019-10-23,2019w43,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17286,2019-10-28,2019w44,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17331,2019-11-04,2019w45,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17354,2019-11-06,2019w45,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17421,2019-11-13,2019w46,2,1,1264,304,21320
